Source,Target,Type
1737723,1287953,Undirected
1737723,1471758,Undirected
1164040,1004006,Undirected
1164040,1627979,Undirected
1164040,2093276,Undirected
1164040,1801023,Undirected
1164040,1430083,Undirected
1164040,1934334,Undirected
1164040,1373556,Undirected
1164040,1453840,Undirected
1164040,1293093,Undirected
1164040,1849683,Undirected
1164040,1653547,Undirected
1164040,1096458,Undirected
1164040,1717328,Undirected
1164040,1229617,Undirected
1164040,2137700,Undirected
1164040,1608474,Undirected
1164040,1308642,Undirected
1164040,1486222,Undirected
1164040,1122305,Undirected
1164040,2176354,Undirected
1450482,1653547,Undirected
1450482,1637136,Undirected
1450482,1075644,Undirected
1450482,2004407,Undirected
1450482,1415732,Undirected
1450482,1611264,Undirected
1450482,1005535,Undirected
1450482,2053589,Undirected
1450482,2096524,Undirected
1450482,1904812,Undirected
1450482,2039425,Undirected
1450482,2035613,Undirected
1450482,1342809,Undirected
1450482,1061373,Undirected
1450482,1481788,Undirected
1450482,1561258,Undirected
1450482,1520341,Undirected
1450482,1297452,Undirected
1450482,2012528,Undirected
1540664,1658169,Undirected
1540664,1373556,Undirected
1540664,2179423,Undirected
1540664,1688732,Undirected
1540664,1285681,Undirected
1540664,1536503,Undirected
1540664,2044243,Undirected
1540664,1780755,Undirected
1540664,1846078,Undirected
1540664,1655347,Undirected
1540664,2187358,Undirected
1540664,1537508,Undirected
1540664,1931683,Undirected
1540664,1924855,Undirected
1540664,2132166,Undirected
1540664,1101046,Undirected
1540664,1710799,Undirected
1540664,1854340,Undirected
1540664,2187005,Undirected
1540664,1962196,Undirected
1540664,1351337,Undirected
1540664,1104411,Undirected
1157781,1986493,Undirected
1157781,1140095,Undirected
1157781,1179100,Undirected
1157781,1748165,Undirected
1157781,2138572,Undirected
1157781,1140186,Undirected
1157781,2116289,Undirected
1157781,1693469,Undirected
1157781,1197704,Undirected
1157781,1898131,Undirected
1157781,1140754,Undirected
1157781,1869579,Undirected
1157781,2186915,Undirected
1157781,1055477,Undirected
1157781,1311023,Undirected
1157781,1258119,Undirected
1157781,1898397,Undirected
1157781,1437855,Undirected
1157781,1298937,Undirected
1157781,1275871,Undirected
1157781,1152532,Undirected
1157781,1943540,Undirected
1157781,1364878,Undirected
2094275,1009782,Undirected
2094275,1771996,Undirected
2094275,1242875,Undirected
2094275,1468478,Undirected
2094275,1078999,Undirected
2094275,1401515,Undirected
2094275,1880954,Undirected
2094275,1415732,Undirected
2094275,1165464,Undirected
2094275,1255871,Undirected
2094275,1935432,Undirected
2094275,1001237,Undirected
2094275,1294789,Undirected
2094275,1632092,Undirected
2094275,1815731,Undirected
2094275,1599956,Undirected
2094275,1640665,Undirected
2094275,1745978,Undirected
2094275,1332179,Undirected
2094275,1289129,Undirected
2094275,1729215,Undirected
2094275,1592498,Undirected
1650685,1292198,Undirected
1650685,1148901,Undirected
1650685,1586397,Undirected
1650685,1632092,Undirected
1650685,1703449,Undirected
1650685,1561258,Undirected
1650685,1212864,Undirected
1650685,1125782,Undirected
1650685,1850440,Undirected
1650685,1680227,Undirected
1650685,1007323,Undirected
1650685,2088139,Undirected
1650685,2118064,Undirected
1650685,1431473,Undirected
1650685,2163680,Undirected
1650685,1453105,Undirected
1650685,1078798,Undirected
1650685,1237604,Undirected
1650685,2175553,Undirected
1650685,1620428,Undirected
1650685,1491680,Undirected
1395581,1232748,Undirected
1395581,1980331,Undirected
1395581,1637763,Undirected
1395581,1405963,Undirected
1395581,1311023,Undirected
1395581,2052657,Undirected
1395581,1411371,Undirected
1395581,1176054,Undirected
1395581,1597007,Undirected
1395581,1576142,Undirected
1395581,1678864,Undirected
1395581,1001237,Undirected
1395581,1148901,Undirected
1395581,1934334,Undirected
1395581,1880954,Undirected
1395581,1784644,Undirected
1395581,1202455,Undirected
1848767,1447080,Undirected
1848767,1858092,Undirected
1848767,1582671,Undirected
1848767,1932547,Undirected
1848767,1659825,Undirected
1848767,1861518,Undirected
1848767,1725697,Undirected
1848767,2061171,Undirected
1848767,1043233,Undirected
1848767,2138572,Undirected
1848767,1308982,Undirected
1848767,1907116,Undirected
1848767,1468616,Undirected
1848767,1333730,Undirected
1848767,1130522,Undirected
1848767,1486222,Undirected
1848767,1541035,Undirected
1495786,2124070,Undirected
1495786,1741928,Undirected
1495786,1481788,Undirected
1495786,1317068,Undirected
1495786,1717867,Undirected
1495786,2187358,Undirected
1495786,1654590,Undirected
1495786,2044139,Undirected
1495786,1753409,Undirected
1495786,1535330,Undirected
1495786,2120503,Undirected
1495786,1255871,Undirected
1495786,1693469,Undirected
1495786,1299738,Undirected
1495786,1853352,Undirected
1495786,2052766,Undirected
1495786,1126570,Undirected
1495786,1831481,Undirected
2030365,1593681,Undirected
2030365,1013431,Undirected
2030365,1580494,Undirected
2030365,1878953,Undirected
2030365,1582368,Undirected
2030365,1747095,Undirected
2030365,1334093,Undirected
2030365,2114374,Undirected
2030365,1422370,Undirected
2030365,1414289,Undirected
2030365,1421027,Undirected
2030365,1407777,Undirected
2030365,1536503,Undirected
1516850,1804800,Undirected
1516850,1529026,Undirected
1516850,1654590,Undirected
1516850,1208345,Undirected
1516850,1131979,Undirected
1516850,1652258,Undirected
1516850,1585395,Undirected
1516850,2155984,Undirected
1516850,1808237,Undirected
1516850,1192666,Undirected
1516850,1304803,Undirected
1516850,1890736,Undirected
1516850,1682816,Undirected
1516850,1071878,Undirected
1516850,2031144,Undirected
1516850,2160030,Undirected
1516850,1631428,Undirected
1516850,1147450,Undirected
1516850,1392388,Undirected
1516850,2030598,Undirected
1516850,1037189,Undirected
1618641,1746085,Undirected
1618641,1748575,Undirected
1618641,1747507,Undirected
1618641,1879689,Undirected
1618641,1676672,Undirected
1618641,1932008,Undirected
1618641,2052335,Undirected
1618641,1366638,Undirected
1618641,1934261,Undirected
1618641,1925453,Undirected
1618641,1370758,Undirected
1618641,1453840,Undirected
1618641,1537508,Undirected
1618641,1971190,Undirected
1618641,1626132,Undirected
1618641,1040750,Undirected
1618641,1799163,Undirected
1618641,1640665,Undirected
1618641,1008584,Undirected
1618641,1840066,Undirected
1387010,1934334,Undirected
1387010,1425414,Undirected
1387010,1230371,Undirected
1387010,1632092,Undirected
1387010,2051613,Undirected
1387010,1888812,Undirected
1387010,1717328,Undirected
1387010,1111678,Undirected
1387010,1511794,Undirected
1387010,1382746,Undirected
1387010,1618619,Undirected
1387010,1873967,Undirected
1387010,1815731,Undirected
1387010,1297452,Undirected
1387010,1986493,Undirected
1387010,1062368,Undirected
1387010,2139257,Undirected
1387010,1486222,Undirected
1387010,1052523,Undirected
1387010,1585395,Undirected
1387010,1409260,Undirected
1387010,1321655,Undirected
2160991,1080415,Undirected
2160991,1292198,Undirected
2160991,1304803,Undirected
2160991,1378130,Undirected
2160991,2114910,Undirected
2160991,1370758,Undirected
2160991,1177367,Undirected
2160991,2026878,Undirected
2160991,1658169,Undirected
2160991,1178027,Undirected
2160991,1818851,Undirected
2160991,1131979,Undirected
2160991,1453105,Undirected
2160991,1479984,Undirected
2160991,1447309,Undirected
2160991,1748165,Undirected
1941984,1753409,Undirected
1941984,2120503,Undirected
1941984,1537508,Undirected
1941984,1890736,Undirected
1941984,1411408,Undirected
1941984,1386088,Undirected
1941984,2030598,Undirected
1941984,1063447,Undirected
1941984,1797545,Undirected
1941984,1198028,Undirected
1941984,1316172,Undirected
1941984,1596326,Undirected
1007323,1545854,Undirected
1007323,2031953,Undirected
1007323,1133740,Undirected
1007323,1611414,Undirected
1007323,1513399,Undirected
1007323,1414289,Undirected
1007323,2031535,Undirected
1007323,1501184,Undirected
1007323,1406241,Undirected
1007323,1137075,Undirected
1007323,1586397,Undirected
1007323,2086593,Undirected
1007323,1263917,Undirected
1007323,1907116,Undirected
1007323,1514009,Undirected
1007323,1294198,Undirected
1007323,2067576,Undirected
1007323,1063447,Undirected
1007323,1135231,Undirected
1007323,1962196,Undirected
1007323,1085083,Undirected
1007323,1195428,Undirected
1140754,1729215,Undirected
1140754,1088566,Undirected
1140754,1429541,Undirected
1140754,1149168,Undirected
1140754,1794002,Undirected
1140754,1407777,Undirected
1140754,1345380,Undirected
1140754,1879822,Undirected
1140754,1265369,Undirected
1140754,1535330,Undirected
1140754,1934334,Undirected
1140754,2012176,Undirected
1140754,2094309,Undirected
1140754,1032940,Undirected
1140754,1571011,Undirected
1140754,1030709,Undirected
1140754,2190522,Undirected
1140754,2030598,Undirected
1140754,1934261,Undirected
2039425,1573361,Undirected
2039425,1687670,Undirected
2039425,1423204,Undirected
2039425,1586397,Undirected
2039425,1710060,Undirected
2039425,1355965,Undirected
2039425,1253573,Undirected
2039425,1347122,Undirected
2039425,1985586,Undirected
2039425,1774214,Undirected
2039425,1233776,Undirected
2039425,1632092,Undirected
2039425,1204385,Undirected
2039425,2028792,Undirected
2039425,1724082,Undirected
2039425,1569396,Undirected
2039425,1795742,Undirected
1499843,1625838,Undirected
1499843,1204385,Undirected
1499843,1791609,Undirected
1499843,1178774,Undirected
1499843,2068096,Undirected
1499843,1511687,Undirected
1499843,1454350,Undirected
1499843,2160030,Undirected
1499843,1477669,Undirected
1499843,1710060,Undirected
1499843,1001237,Undirected
1499843,1515577,Undirected
1499843,1638260,Undirected
1499843,1586157,Undirected
1499843,2176872,Undirected
1499843,1246023,Undirected
1499843,1627979,Undirected
1499843,1101420,Undirected
1499843,1890890,Undirected
1499843,1802458,Undirected
2138572,1834174,Undirected
2138572,1010010,Undirected
2138572,1747507,Undirected
2138572,1414289,Undirected
2138572,1632092,Undirected
2138572,1658169,Undirected
2138572,1541035,Undirected
2138572,1212864,Undirected
2138572,1828821,Undirected
2138572,1815731,Undirected
2138572,1100835,Undirected
2138572,1009782,Undirected
2138572,1411371,Undirected
2138572,2190469,Undirected
2138572,1747095,Undirected
2138572,1795623,Undirected
2138572,1582368,Undirected
2138572,1752925,Undirected
2032084,1717867,Undirected
2032084,1955377,Undirected
2032084,1488352,Undirected
2032084,1182124,Undirected
2032084,1099282,Undirected
2032084,1737378,Undirected
2032084,1491829,Undirected
2032084,1377722,Undirected
2032084,1486222,Undirected
2032084,2120503,Undirected
2032084,1370758,Undirected
2032084,1110969,Undirected
2032084,1904036,Undirected
2032084,2137700,Undirected
2032084,1732385,Undirected
2032084,1081130,Undirected
2032084,2130182,Undirected
2032084,1787998,Undirected
2032084,1948038,Undirected
2032084,1078798,Undirected
2032084,1371959,Undirected
2032084,1315260,Undirected
2032084,1148483,Undirected
2032084,1232859,Undirected
1423204,2098118,Undirected
1423204,1421203,Undirected
1423204,1703036,Undirected
1423204,1971190,Undirected
1423204,1607930,Undirected
1423204,1899004,Undirected
1423204,1599956,Undirected
1423204,1239179,Undirected
1423204,1491680,Undirected
1423204,1648677,Undirected
1423204,2060915,Undirected
1423204,1879822,Undirected
1423204,1821535,Undirected
1423204,1919773,Undirected
1423204,1545854,Undirected
1423204,1620428,Undirected
1423204,2024861,Undirected
1423204,1148138,Undirected
1710060,1008903,Undirected
1710060,1631428,Undirected
1710060,1530331,Undirected
1710060,1382860,Undirected
1710060,1679380,Undirected
1710060,1126570,Undirected
1710060,2000396,Undirected
1710060,1154412,Undirected
1710060,2189435,Undirected
1710060,1771996,Undirected
1710060,1932008,Undirected
1710060,1873967,Undirected
1710060,1102392,Undirected
1710060,1765998,Undirected
1710060,1780789,Undirected
1710060,1062368,Undirected
1710060,1012292,Undirected
1501184,1204385,Undirected
1501184,2035613,Undirected
1501184,1654590,Undirected
1501184,1716946,Undirected
1501184,1904812,Undirected
1501184,2139257,Undirected
1501184,1323503,Undirected
1501184,1012292,Undirected
1501184,2086325,Undirected
1501184,1192666,Undirected
1501184,1454350,Undirected
1501184,1088566,Undirected
1501184,1177367,Undirected
1501184,2011647,Undirected
1501184,1637136,Undirected
1501184,1978005,Undirected
1501184,1176054,Undirected
1752158,1985586,Undirected
1752158,1573315,Undirected
1752158,2075823,Undirected
1752158,1974551,Undirected
1752158,2080292,Undirected
1752158,1232859,Undirected
1752158,2176872,Undirected
1752158,1162473,Undirected
1752158,1264879,Undirected
1752158,1905701,Undirected
1752158,1618649,Undirected
1752158,2151879,Undirected
1752158,1904036,Undirected
1752158,1010010,Undirected
1752158,2101492,Undirected
1752158,1422370,Undirected
1752158,1739167,Undirected
1752158,1888504,Undirected
1435382,1423862,Undirected
1435382,2186915,Undirected
1435382,1905701,Undirected
1435382,1744600,Undirected
1435382,1375110,Undirected
1435382,2068887,Undirected
1435382,1208525,Undirected
1435382,1640665,Undirected
1435382,1910166,Undirected
1435382,1747894,Undirected
1435382,1653547,Undirected
1435382,1907116,Undirected
1435382,1167685,Undirected
1435382,2092279,Undirected
2088712,1858317,Undirected
2088712,1469352,Undirected
2088712,1176459,Undirected
2088712,1281048,Undirected
2088712,1648453,Undirected
2088712,1240624,Undirected
2088712,1306730,Undirected
2088712,1377726,Undirected
2088712,2063763,Undirected
2088712,1045893,Undirected
2088712,1382746,Undirected
2088712,1366967,Undirected
2088712,1327759,Undirected
2088712,1546931,Undirected
2088712,2011045,Undirected
2088712,1208345,Undirected
2088712,1064345,Undirected
2088712,1930830,Undirected
1678864,1802458,Undirected
1678864,1040517,Undirected
1678864,1240624,Undirected
1678864,1686241,Undirected
1678864,1285829,Undirected
1678864,1967937,Undirected
1678864,2011368,Undirected
1678864,1061373,Undirected
1678864,1589658,Undirected
1678864,2145287,Undirected
1678864,1608474,Undirected
1678864,1920196,Undirected
1678864,1486222,Undirected
1678864,1654590,Undirected
1678864,1385524,Undirected
2039839,1493401,Undirected
2039839,1746085,Undirected
2039839,1694703,Undirected
2039839,1263917,Undirected
2039839,1469352,Undirected
2039839,1948038,Undirected
2039839,1012292,Undirected
2039839,1780755,Undirected
2039839,2011647,Undirected
2039839,1105755,Undirected
2039839,1668072,Undirected
2039839,1604008,Undirected
2039839,1541739,Undirected
2039839,2081434,Undirected
2039839,1376840,Undirected
2039839,1101420,Undirected
2039839,1513399,Undirected
1137075,1513399,Undirected
1137075,1097912,Undirected
1137075,2163680,Undirected
1137075,1967937,Undirected
1137075,1068855,Undirected
1137075,1445053,Undirected
1137075,1802458,Undirected
1137075,1497191,Undirected
1137075,1719700,Undirected
1137075,1746263,Undirected
1137075,1520341,Undirected
1137075,1349457,Undirected
1137075,1088566,Undirected
1137075,1708745,Undirected
1137075,1780755,Undirected
1668072,1193138,Undirected
1668072,1685264,Undirected
1668072,1108175,Undirected
1668072,1712065,Undirected
1668072,1386088,Undirected
1668072,1709864,Undirected
1668072,2079214,Undirected
1668072,1010010,Undirected
1668072,1375110,Undirected
1668072,1905701,Undirected
1668072,1009782,Undirected
1668072,1771996,Undirected
1668072,1469365,Undirected
1668072,2132166,Undirected
1668072,1280137,Undirected
1668072,1208345,Undirected
1668072,2170978,Undirected
1668072,1288482,Undirected
2057276,1985586,Undirected
2057276,1297452,Undirected
2057276,1315260,Undirected
2057276,1648453,Undirected
2057276,1880954,Undirected
2057276,1102392,Undirected
2057276,1576142,Undirected
2057276,1162607,Undirected
2057276,2047827,Undirected
2057276,1479984,Undirected
2057276,2068096,Undirected
2057276,1655347,Undirected
1873899,1165207,Undirected
1873899,2189435,Undirected
1873899,1796437,Undirected
1873899,1729341,Undirected
1873899,1210370,Undirected
1873899,1985366,Undirected
1873899,2052657,Undirected
1873899,1986493,Undirected
1873899,2031265,Undirected
1873899,2186915,Undirected
1873899,1019960,Undirected
1873899,1652033,Undirected
1873899,1734553,Undirected
1873899,1392388,Undirected
1873899,1882428,Undirected
1873899,1292198,Undirected
1873899,1289129,Undirected
1873899,1232874,Undirected
1980331,1125378,Undirected
1980331,1153617,Undirected
1980331,1878953,Undirected
1980331,1517039,Undirected
1980331,1347122,Undirected
1980331,2186915,Undirected
1980331,1080515,Undirected
1980331,1754531,Undirected
1980331,1510941,Undirected
1980331,1092657,Undirected
1980331,1238239,Undirected
1980331,1511687,Undirected
1980331,1799685,Undirected
1980331,1004006,Undirected
1980331,1717867,Undirected
1980331,2073956,Undirected
1980331,1541035,Undirected
1309677,1534279,Undirected
1309677,2068887,Undirected
1309677,1569396,Undirected
1309677,2015689,Undirected
1309677,1687670,Undirected
1309677,2028792,Undirected
1309677,1271509,Undirected
1309677,2124070,Undirected
1309677,2185328,Undirected
1309677,1769750,Undirected
1309677,1468616,Undirected
1309677,1125782,Undirected
1309677,1401489,Undirected
1309677,1799685,Undirected
1309677,1332179,Undirected
1309677,1097951,Undirected
1783376,2082361,Undirected
1783376,1815731,Undirected
1783376,1040517,Undirected
1783376,1828434,Undirected
1783376,1651363,Undirected
1783376,1773686,Undirected
1783376,1497191,Undirected
1783376,1932547,Undirected
1783376,1915942,Undirected
1783376,1221712,Undirected
1783376,1238239,Undirected
1783376,2150594,Undirected
1783376,1493401,Undirected
1783376,1551969,Undirected
1783376,1022353,Undirected
1783376,1491829,Undirected
1783376,1731818,Undirected
1783376,1291399,Undirected
1783376,1176459,Undirected
1783376,1797545,Undirected
1783376,1716953,Undirected
1783376,1471758,Undirected
1103114,2031535,Undirected
1103114,1963826,Undirected
1103114,1414289,Undirected
1103114,1925453,Undirected
1103114,1773686,Undirected
1103114,1080415,Undirected
1103114,1564860,Undirected
1103114,1191722,Undirected
1103114,1483150,Undirected
1103114,1204385,Undirected
1103114,1631584,Undirected
1103114,1756068,Undirected
1103114,1931683,Undirected
1103114,1873967,Undirected
1103114,1040750,Undirected
1103114,2123100,Undirected
1103114,1057235,Undirected
1103114,1781497,Undirected
1103114,1010580,Undirected
1103114,1276254,Undirected
1103114,1990692,Undirected
1103114,2044139,Undirected
1103114,1437855,Undirected
1103114,1316721,Undirected
1394146,2030865,Undirected
1394146,1437855,Undirected
1394146,1078718,Undirected
1394146,1967937,Undirected
1394146,2118121,Undirected
1394146,1149823,Undirected
1394146,1403130,Undirected
1394146,1148901,Undirected
1394146,1638260,Undirected
1394146,2094309,Undirected
1394146,2065367,Undirected
1394146,1874613,Undirected
1394146,1271509,Undirected
1394146,1974551,Undirected
1394146,1881393,Undirected
1394146,1861518,Undirected
1394146,1000936,Undirected
1394146,1415732,Undirected
1394146,1600228,Undirected
1394146,1697245,Undirected
1394146,1710799,Undirected
1394146,1170582,Undirected
1394146,1141138,Undirected
1394146,1878953,Undirected
1394146,1348642,Undirected
1394146,1362420,Undirected
1350417,1176054,Undirected
1350417,2092279,Undirected
1350417,2030865,Undirected
1350417,1208400,Undirected
1350417,1791319,Undirected
1350417,1566913,Undirected
1350417,1342373,Undirected
1350417,1910166,Undirected
1350417,1932547,Undirected
1350417,1471705,Undirected
1350417,1144533,Undirected
1350417,1680227,Undirected
1350417,1158926,Undirected
1350417,1230371,Undirected
1350417,1003430,Undirected
1350417,1687670,Undirected
1664236,1285249,Undirected
1664236,1401515,Undirected
1664236,1232859,Undirected
1664236,2099749,Undirected
1664236,1995184,Undirected
1664236,2086325,Undirected
1664236,1902104,Undirected
1664236,1651363,Undirected
1664236,1323503,Undirected
1664236,2052657,Undirected
1664236,1957928,Undirected
1664236,2098579,Undirected
1664236,1535505,Undirected
1664236,1452402,Undirected
1664236,1573315,Undirected
1436716,1680227,Undirected
1436716,1769750,Undirected
1436716,1377722,Undirected
1436716,1045893,Undirected
1436716,1774214,Undirected
1436716,1833991,Undirected
1436716,1401515,Undirected
1436716,1198028,Undirected
1436716,1551969,Undirected
1436716,1667036,Undirected
1436716,2149394,Undirected
1436716,1654182,Undirected
1436716,1842301,Undirected
1436716,1985586,Undirected
1436716,2017769,Undirected
1436716,1794002,Undirected
1436716,1733203,Undirected
1436716,1747894,Undirected
1436716,1850440,Undirected
1436716,1752925,Undirected
1436716,1179100,Undirected
1436716,1287953,Undirected
1436716,2184876,Undirected
1436716,1513399,Undirected
1618649,2160816,Undirected
1618649,1153046,Undirected
1618649,1405963,Undirected
1618649,1650010,Undirected
1618649,1397975,Undirected
1618649,2140379,Undirected
1618649,1706163,Undirected
1618649,1447080,Undirected
1618649,1315260,Undirected
1618649,1469352,Undirected
1618649,1900630,Undirected
1618649,1632092,Undirected
1618649,1746263,Undirected
1618649,1907437,Undirected
1618649,1471705,Undirected
1618649,1899004,Undirected
1618649,1325246,Undirected
1618649,1411313,Undirected
1618649,2044139,Undirected
1618649,1779608,Undirected
1618649,1471758,Undirected
1849892,1708594,Undirected
1849892,1974551,Undirected
1849892,1308631,Undirected
1849892,1071878,Undirected
1849892,1793897,Undirected
1849892,1204385,Undirected
1849892,1345380,Undirected
1849892,1536503,Undirected
1849892,1149738,Undirected
1849892,1153617,Undirected
1849892,1774214,Undirected
1849892,1884731,Undirected
1849892,1493401,Undirected
1849892,2191988,Undirected
1849892,1010580,Undirected
1849892,1004006,Undirected
1849892,1697245,Undirected
1849892,1717867,Undirected
1849892,1566913,Undirected
1849892,1126570,Undirected
1259022,1925453,Undirected
1259022,2098118,Undirected
1259022,1158926,Undirected
1259022,1721523,Undirected
1259022,1592834,Undirected
1259022,1579661,Undirected
1259022,1779005,Undirected
1259022,1265369,Undirected
1259022,2063763,Undirected
1259022,1801356,Undirected
1259022,2050088,Undirected
1259022,1687178,Undirected
1259022,1631715,Undirected
1259022,1687670,Undirected
1259022,2099749,Undirected
1259022,2081434,Undirected
1259022,1544108,Undirected
1430083,1626132,Undirected
1430083,1549741,Undirected
1430083,1924855,Undirected
1430083,1920196,Undirected
1430083,1774214,Undirected
1430083,1232859,Undirected
1430083,1654182,Undirected
1430083,1818851,Undirected
1430083,1148901,Undirected
1430083,1984360,Undirected
1430083,1469352,Undirected
1430083,1679380,Undirected
1430083,1631584,Undirected
1430083,2169231,Undirected
1430083,1723935,Undirected
1430083,1013431,Undirected
1430083,1654590,Undirected
1430083,1101420,Undirected
1430083,1737997,Undirected
1935432,1288482,Undirected
1935432,2052657,Undirected
1935432,1888504,Undirected
1935432,1638260,Undirected
1935432,1054952,Undirected
1935432,1355336,Undirected
1935432,1614155,Undirected
1935432,1147450,Undirected
1935432,1319501,Undirected
1935432,1148901,Undirected
1935432,1102392,Undirected
1935432,2191557,Undirected
1935432,1547291,Undirected
1935432,1535505,Undirected
1935432,1592972,Undirected
1935432,1747894,Undirected
1935432,1850440,Undirected
1935432,2044224,Undirected
1935432,1878953,Undirected
1935432,2011647,Undirected
1935432,1645235,Undirected
1935432,1230818,Undirected
2138371,1479984,Undirected
2138371,1255871,Undirected
2138371,1703449,Undirected
2138371,1032940,Undirected
2138371,1995184,Undirected
2138371,1697245,Undirected
2138371,2012528,Undirected
2138371,1963826,Undirected
2138371,2052657,Undirected
2138371,1139805,Undirected
2138371,1724666,Undirected
2138371,1342809,Undirected
2138371,2000766,Undirected
2138371,1500549,Undirected
2138371,2177114,Undirected
2138371,2124070,Undirected
2138371,1701666,Undirected
2138371,1080515,Undirected
1382746,1088566,Undirected
1382746,2090907,Undirected
1382746,1898397,Undirected
1382746,2158370,Undirected
1382746,1208424,Undirected
1382746,2076878,Undirected
1382746,2012528,Undirected
1382746,1878953,Undirected
1382746,1040517,Undirected
1382746,1825044,Undirected
1382746,2047827,Undirected
1382746,1918740,Undirected
1382746,1401489,Undirected
1382746,1221712,Undirected
1382746,1566913,Undirected
1382746,1853352,Undirected
1382746,2024861,Undirected
1382746,1995593,Undirected
1469352,1472602,Undirected
1469352,1425414,Undirected
1469352,1592972,Undirected
1469352,1769750,Undirected
1469352,1453436,Undirected
1469352,1858092,Undirected
1469352,1849683,Undirected
1469352,1355336,Undirected
1469352,2120503,Undirected
1469352,2080292,Undirected
1469352,1808237,Undirected
1469352,1355022,Undirected
1469352,1975772,Undirected
1019960,1074135,Undirected
1019960,1834174,Undirected
1019960,1392135,Undirected
1019960,1659825,Undirected
1019960,1576142,Undirected
1019960,1153046,Undirected
1019960,1149168,Undirected
1019960,1620155,Undirected
1019960,1052523,Undirected
1019960,1162473,Undirected
