Id,Label,age,gender,friend_count,likes,likes_received
1304803,1304803,18,male,19,0,1
1907548,1907548,21,male,167,418,53
1131534,1131534,25,female,128,586,178
1874613,1874613,21,female,57,59,148
1759157,1759157,26,male,99,4,4
2120503,2120503,23,male,41,9,4
2060594,2060594,30,female,93,4,5
2187358,2187358,26,female,32,0,8
1849683,1849683,20,male,445,22,240
1984360,1984360,27,male,89,39,0
1088398,1088398,27,male,15,0,3
1265347,1265347,30,female,76,7,3
1165207,1165207,24,male,23,14,0
1589658,1589658,27,male,112,12,27
1271509,1271509,21,male,57,0,0
1242875,1242875,24,female,119,126,553
1537508,1537508,24,male,18,7,3
1581253,1581253,22,male,87,0,0
1631584,1631584,21,male,51,0,2
1796437,1796437,25,male,4,2,2
1687178,1687178,28,female,24,2,2
1294789,1294789,22,male,143,3,2
1539980,1539980,23,female,205,100,16
1618619,1618619,20,male,538,440,1386
1187887,1187887,22,female,71,5,25
1403130,1403130,27,male,1,8,8
1233776,1233776,22,female,2274,1,64
1761113,1761113,19,male,30,1,1
1332803,1332803,19,male,165,6,2
2035613,2035613,24,female,24,1,6
1974551,1974551,20,male,126,45,35
1015559,1015559,18,male,75,11,5
1756068,1756068,22,male,91,4,2
1758790,1758790,18,female,45,187,259
1856399,1856399,23,male,21,0,0
1285681,1285681,22,female,75,6,0
1514702,1514702,25,male,60,3,1
1932547,1932547,26,female,1,3,0
2044243,2044243,25,female,153,23,26
1931683,1931683,18,female,2144,351,501
1238182,1238182,21,female,423,122,45
1900630,1900630,26,female,70,23,3
1971190,1971190,23,male,188,0,1
1148901,1148901,26,male,79,8,3
1956901,1956901,19,male,149,248,578
1004427,1004427,24,female,247,80,67
1871527,1871527,28,male,90,4,13
1342809,1342809,19,male,670,115,538
2000451,2000451,18,female,181,25,25
1419182,1419182,18,male,5,0,0
1310845,1310845,19,male,72,4,2
1842060,1842060,25,male,50,2,16
1835212,1835212,26,male,33,0,0
2167676,2167676,18,male,0,0,0
2151879,2151879,21,male,29,0,0
1378130,1378130,20,female,1018,531,539
1632092,1632092,18,male,150,0,17
1319501,1319501,18,female,1580,1590,2710
1238239,1238239,24,male,29,1,0
2000570,2000570,19,female,2166,0,21
1342373,1342373,21,female,235,13,53
1604008,1604008,26,male,14,0,0
1396709,1396709,23,male,0,0,0
1615033,1615033,18,female,1143,2895,1791
1351142,1351142,18,male,77,2,50
1858092,1858092,24,male,335,0,0
1341689,1341689,23,male,0,0,0
1810050,1810050,28,male,22,2,0
1040517,1040517,26,female,34,1,0
2048772,2048772,27,female,31,1,0
1567230,1567230,26,male,538,132,13
1101365,1101365,19,male,53,33,43
1728011,1728011,26,male,1,0,0
1579661,1579661,25,female,138,0,1
1873967,1873967,21,male,9,0,1
1671443,1671443,27,male,43,197,2
1421027,1421027,19,male,30,11,0
2150594,2150594,19,female,30,3,0
1890736,1890736,19,male,837,63,87
1445053,1445053,25,female,86,262,320
1891585,1891585,24,male,134,24,35
1313029,1313029,24,male,85,23,2
2060915,2060915,25,male,21,2,1
2139595,2139595,19,male,479,144,145
1586397,1586397,19,male,233,50,9
1436288,1436288,18,male,173,7,0
1075644,1075644,24,female,130,4,0
1125378,1125378,21,male,197,4,3
1626132,1626132,20,male,1089,164,304
1155878,1155878,25,male,16,33,2
1102392,1102392,25,female,19,547,138
1003400,1003400,23,male,232,3,3
1360419,1360419,26,female,48,0,2
1447080,1447080,30,female,271,8,9
1009782,1009782,18,female,3160,0,18
1676672,1676672,25,female,51,0,0
2000766,2000766,21,female,53,17,2
1746263,1746263,25,male,116,74,110
1040750,1040750,30,female,16,1,0
1054952,1054952,18,male,5,0,0
2169231,2169231,25,male,9,1763,1
2039082,2039082,18,male,23,27,0
2123100,2123100,21,male,207,1,0
1688732,1688732,28,female,101,5,4
1652033,1652033,26,male,169,17,44
2149394,2149394,24,female,170,13,28
1771996,1771996,28,male,164,178,11
1682816,1682816,21,male,38,1,0
1071878,1071878,20,male,45,2,1
1746262,1746262,28,female,212,942,1016
1366967,1366967,18,male,130,52,47
1105755,1105755,21,male,7,2,1
1881393,1881393,26,male,46,74,43
1406241,1406241,19,male,2,0,0
1102442,1102442,27,male,257,5,13
1500549,1500549,20,female,170,999,782
1200717,1200717,21,female,207,16,120
1904036,1904036,23,male,24,1,14
1717328,1717328,18,female,3,0,0
1833991,1833991,21,male,158,4,11
1977605,1977605,18,female,42,486,526
1162473,1162473,18,female,431,223,100
1934334,1934334,20,male,11,100,3
1031586,1031586,19,male,4,2,0
1981790,1981790,21,male,10,0,0
1515577,1515577,29,male,25,10,12
1213307,1213307,29,male,8,0,0
2031144,2031144,25,male,134,0,1
1511794,1511794,29,male,47,1,1
1869579,1869579,19,male,209,26,7
1765998,1765998,21,male,163,2,25
1411408,1411408,23,male,42,11,9
1847783,1847783,22,female,2,0,0
2086593,2086593,25,male,40,9,7
1957928,1957928,30,male,94,20,59
1043233,1043233,19,male,1128,16,12
2038849,2038849,26,male,26,24,7
1382860,1382860,23,male,354,13,37
1907437,1907437,27,female,63,4,8
1032975,1032975,20,male,71,297,198
1128174,1128174,30,male,8,1,0
2088139,2088139,30,male,36,1,1
2004407,2004407,25,male,42,14,4
1625838,1625838,30,male,122,9,2
1963826,1963826,21,male,14,1,0
2191557,2191557,22,male,395,55,86
1289323,1289323,21,female,398,229,473
1702188,1702188,19,male,52,23,23
2160030,2160030,25,male,6,239,1
2181203,2181203,30,male,49,0,0
1010010,1010010,21,female,555,946,679
1686241,1686241,24,female,202,1,6
1578934,1578934,27,female,1,1,0
1471705,1471705,23,female,437,508,501
2079214,2079214,30,male,1,1,0
1423862,1423862,21,female,238,107,114
1899004,1899004,27,male,5,5,0
1229617,1229617,26,male,343,3,0
1799163,1799163,20,male,57,3,2
1308982,1308982,18,male,1761,481,811
2080292,2080292,21,female,148,37,75
1510941,1510941,28,male,27,1,1
1650216,1650216,19,female,488,420,468
1547291,1547291,29,male,272,2,1
1997601,1997601,21,female,120,9,70
1469365,1469365,29,female,61,259,404
1881466,1881466,18,female,153,174,93
1753409,1753409,24,female,60,0,0
1265369,1265369,22,male,561,198,219
2123575,2123575,25,female,524,281,235
1534279,1534279,23,male,136,0,0
2021711,2021711,23,male,76,3,5
2137700,2137700,28,female,45,23,18
1732385,1732385,18,male,56,1,0
1217092,1217092,25,male,156,0,1
1192042,1192042,20,female,4767,791,6077
1334093,1334093,18,male,22,0,0
1808237,1808237,25,female,240,0,0
2177114,2177114,28,male,131,0,0
1875859,1875859,22,male,127,0,2
1061373,1061373,26,female,100,614,344
2118064,2118064,21,female,142,0,3
2095805,2095805,19,male,404,4,11
1144533,1144533,22,female,228,278,312
1204385,1204385,28,female,47,12,7
2160816,2160816,23,female,160,38,7
2158534,2158534,25,male,66,0,1
2068887,2068887,18,female,290,1208,1003
2189435,2189435,26,male,213,49,120
1680227,1680227,19,male,589,98,174
2018925,2018925,19,female,1,0,0
1880954,1880954,26,male,302,0,36
1255871,1255871,20,female,505,1160,185
2030865,2030865,21,male,170,308,343
1481513,1481513,23,female,1464,290,422
1825044,1825044,21,male,88,0,0
1511687,1511687,20,male,106,0,0
1159053,1159053,18,male,97,1,1
2137884,2137884,18,male,219,0,1
2090907,2090907,22,male,10,0,2
2021059,2021059,26,male,371,52,57
2098579,2098579,28,male,2,3,0
1631990,1631990,25,male,0,0,0
1719700,1719700,19,female,177,608,398
2118121,2118121,18,female,203,159,261
1631715,1631715,22,male,277,788,115
2124070,2124070,25,female,80,5,7
1005535,1005535,21,male,58,10,5
1593681,1593681,28,male,1,0,0
1281713,1281713,18,female,92,549,218
1081130,1081130,23,female,18,1,0
1156925,1156925,28,male,58,0,0
1918795,1918795,21,male,300,1,3
1646923,1646923,23,female,56,3,8
1050563,1050563,26,male,82,2,12
1755148,1755148,21,female,233,153,260
1149738,1149738,18,male,49,26,18
1453436,1453436,21,male,4,0,0
1815731,1815731,26,male,81,4,7
1734553,1734553,20,male,74,0,3
1153617,1153617,27,male,1,0,0
1286996,1286996,23,male,130,19,7
1533133,1533133,26,female,106,0,0
1694703,1694703,19,male,66,2,0
1263917,1263917,19,male,815,6,3
1282888,1282888,25,female,17,0,0
1659825,1659825,29,male,129,0,14
1703036,1703036,19,female,241,10,19
1701666,1701666,20,male,38,10,5
1722405,1722405,19,female,193,258,174
1045893,1045893,21,female,162,11,44
2186915,2186915,30,male,32,6,18
2101492,2101492,20,male,67,6,6
1625688,1625688,22,male,14,0,0
1716946,1716946,22,female,284,154,256
1599956,1599956,22,female,294,1447,351
1327759,1327759,28,male,262,1,1
1603012,1603012,28,female,114,219,322
1709864,1709864,21,male,118,96,206
1703984,1703984,22,male,94,219,267
2155984,2155984,26,male,299,2,5
1576142,1576142,28,male,70,0,0
1654182,1654182,21,female,614,17,23
1677524,1677524,18,female,5,4,29
1861518,1861518,24,female,18,0,0
1514551,1514551,26,male,15,12,7
1113322,1113322,25,female,132,164,404
2136563,2136563,30,male,0,0,0
2063763,2063763,27,female,25,3,0
1366638,1366638,27,female,461,164,165
1638260,1638260,21,male,34,1,1
1429541,1429541,28,male,2,62,17
1693469,1693469,27,female,81,448,78
1876432,1876432,18,female,4587,2,1
1244243,1244243,29,female,173,59,79
1842301,1842301,25,male,206,363,190
2000815,2000815,19,male,262,35,10
1999852,1999852,18,female,1384,6334,1293
1546931,1546931,30,male,67,0,0
1534221,1534221,25,female,43,13,2
1268773,1268773,22,male,48,74,51
1086771,1086771,29,male,241,6,3
1163000,1163000,30,female,123,59,89
1631346,1631346,22,male,11,6,1
1535505,1535505,20,female,410,63,211
2158370,2158370,28,female,362,476,310
1610775,1610775,23,female,196,10,4
1592972,1592972,23,male,167,2,11
1162607,1162607,21,female,643,1122,2046
1597007,1597007,18,male,255,0,27
1884731,1884731,25,female,268,0,15
1219898,1219898,29,female,4,0,0
2011045,2011045,27,male,43,0,0
2012176,2012176,25,male,65,48,84
2082361,2082361,18,male,84,3,3
1606001,1606001,23,female,465,644,663
1421203,1421203,21,male,33,3,12
1804800,1804800,24,female,546,37,113
1702049,1702049,29,male,186,3,8
1411371,1411371,30,male,43,16,0
2185328,2185328,24,female,74,2,1
1582671,1582671,23,male,13,12,6
1087991,1087991,18,male,465,0,0
1769750,1769750,22,male,1030,46,40
1616727,1616727,30,female,221,121,369
1907116,1907116,22,male,257,45,41
2190469,2190469,21,male,31,0,3
2031535,2031535,19,female,4598,37,1486
1997458,1997458,27,male,0,0,0
1232748,1232748,26,female,898,107,269
1058475,1058475,27,male,0,2,2
1879822,1879822,21,male,14,0,5
1200863,1200863,19,female,123,28,3
2076878,2076878,24,female,185,50,75
2053589,2053589,18,male,834,146,40
1821535,1821535,24,female,176,11,51
1481788,1481788,23,male,184,14,1
1468616,1468616,18,male,132,17,36
1042425,1042425,29,male,84,3,3
1477669,1477669,23,male,210,0,1
1725697,1725697,28,male,13,12,4
1384601,1384601,18,male,133,43,21
1672317,1672317,22,male,586,0,2
1415049,1415049,19,male,170,26,8
1561258,1561258,21,female,18,1,0
2145287,2145287,21,female,121,8,10
1217083,1217083,19,female,640,335,869
2186966,2186966,25,male,0,0,0
1355995,1355995,20,male,88,2356,289
1631428,1631428,23,male,190,254,133
1985586,1985586,19,female,676,821,1854
1541739,1541739,21,male,18,0,0
1201943,1201943,18,female,998,1258,1274
1520341,1520341,23,female,15,0,0
1004373,1004373,28,male,309,21,41
2064859,2064859,19,male,338,1,1
1898131,1898131,22,female,130,44,1
1640665,1640665,23,male,21,13,0
1791319,1791319,19,male,16,0,0
1493401,1493401,27,female,68,98,51
1131979,1131979,23,male,15,1,0
2051613,2051613,18,male,60,0,7
2094309,2094309,20,male,398,62,78
1386088,1386088,18,female,42,16,24
1412570,1412570,21,male,743,31,40
1032940,1032940,25,female,1,0,0
1119495,1119495,19,female,890,1031,1546
1487627,1487627,27,male,220,1164,445
1297452,1297452,19,male,275,68,63
1712137,1712137,19,female,284,110,37
1103614,1103614,20,male,72,2304,1664
1308631,1308631,20,male,134,51,174
1168893,1168893,25,female,1,5,0
1997872,1997872,24,male,251,1,7
1820513,1820513,20,female,1282,11130,8704
2159430,2159430,29,male,0,0,0
1924855,1924855,18,male,66,0,1
1483111,1483111,21,male,396,10,15
1057235,1057235,27,male,123,0,16
1543191,1543191,19,female,325,209,578
1000936,1000936,21,male,206,0,0
1007908,1007908,20,male,99,0,3
1008584,1008584,26,male,87,0,0
1097259,1097259,19,male,266,0,1
2160372,2160372,21,male,17,0,1
1697464,1697464,27,male,11,0,0
1055477,1055477,25,male,12,0,0
2132166,2132166,27,male,151,2,5
1158926,1158926,28,female,10,0,0
1128196,1128196,26,male,24,0,0
1985366,1985366,26,male,1,5,0
1452402,1452402,29,male,159,140,52
2047827,2047827,25,male,170,6,91
1986493,1986493,18,male,50,11,3
1889808,1889808,18,male,23,5,2
1571011,1571011,24,female,191,191,56
1174923,1174923,19,male,193,1,2
1748246,1748246,22,male,9,9,0
1093617,1093617,21,male,64,2,23
1586157,1586157,19,female,557,2023,746
1420952,1420952,29,male,148,50,35
1414289,1414289,30,female,37,8,7
1333730,1333730,21,male,102,48,3
1986625,1986625,21,female,132,518,122
1162646,1162646,20,male,71,0,0
2093436,2093436,18,male,37,0,5
1754531,1754531,22,male,64,153,159
2005819,2005819,25,female,5,0,0
1784644,1784644,22,male,183,0,1
1125782,1125782,18,male,31,5,0
1340834,1340834,22,male,15,2,2
1104789,1104789,18,male,9,0,0
1220896,1220896,21,male,287,4,0
1793897,1793897,29,female,22,3,10
2061171,2061171,20,male,147,0,0
1721523,1721523,18,male,82,1,0
1465267,1465267,22,female,183,13,35
1149823,1149823,26,male,51,75,8
1349457,1349457,27,female,36,0,1
2054042,2054042,19,male,8,0,0
2176872,2176872,18,female,4655,52,247
1230371,1230371,23,male,52,1,56
2032903,2032903,26,male,97,14,1
1955377,1955377,25,male,4,0,0
1867157,1867157,22,female,67,0,0
1726534,1726534,25,male,29,0,1
1918740,1918740,18,female,44,2,4
1202595,1202595,23,male,62,3,0
1614155,1614155,29,female,115,169,121
1401489,1401489,18,female,3769,3162,1258
1377722,1377722,20,female,1552,1032,1761
1162867,1162867,29,male,67,5,2
1431374,1431374,29,male,367,61,51
2028792,2028792,20,female,259,8,33
1919773,1919773,20,female,162,245,119
1140095,1140095,25,female,77,142,47
1608474,1608474,28,male,150,1,7
1791609,1791609,22,female,15,0,0
2162755,2162755,25,male,21,0,6
1153046,1153046,18,female,212,297,946
1293093,1293093,29,male,986,65,61
1724082,1724082,26,female,116,274,16
1984059,1984059,19,male,909,77,87
2000396,2000396,21,male,89,44,11
1723935,1723935,25,male,6,1,1
1840066,1840066,26,male,8,0,0
1408135,1408135,30,female,198,108,115
1096874,1096874,23,female,0,0,0
1747095,1747095,25,female,204,182,281
1325815,1325815,23,male,88,4,3
1706163,1706163,20,female,56,109,31
1454350,1454350,25,male,269,2,1
2031265,2031265,27,male,90,182,72
2153038,2153038,22,female,20,0,0
1577688,1577688,25,male,134,0,0
2017769,2017769,18,male,153,0,45
1280137,1280137,19,male,67,470,547
1831253,1831253,21,male,69,0,0
1514009,1514009,22,female,26,0,7
1195077,1195077,19,male,144,0,0
1471778,1471778,27,male,39,29,5
1795623,1795623,25,female,144,68,95
1403950,1403950,22,female,35,69,41
1607930,1607930,19,male,278,306,67
1133740,1133740,20,male,185,216,147
1771191,1771191,18,male,278,10,33
1738428,1738428,18,male,226,70,6
1175463,1175463,27,male,25,62,1
1181500,1181500,22,male,170,1,13
1149168,1149168,21,male,2,0,0
1154412,1154412,19,male,73,7,1
1648677,1648677,23,male,35,5,0
1355022,1355022,18,female,136,9,26
1081414,1081414,20,male,222,90,30
1712216,1712216,25,male,47,0,0
1392009,1392009,21,male,169,136,301
1551969,1551969,25,male,44,39,6
1022353,1022353,19,male,244,0,2
2191988,2191988,28,male,11,0,0
1779005,1779005,20,male,209,19,9
1821965,1821965,24,male,196,5,3
1221712,1221712,23,male,360,73,63
1174503,1174503,28,male,9,0,0
1175462,1175462,18,male,97,119,77
1547052,1547052,22,female,488,2133,5061
1580494,1580494,23,male,19,0,2
1068855,1068855,22,male,68,2,21
1208424,1208424,27,female,10,50,5
1888812,1888812,30,male,13,5,0
1740313,1740313,22,male,0,0,0
1737378,1737378,20,male,44,3,0
1080415,1080415,26,female,215,15,27
1030709,1030709,19,male,45,40,13
2013164,2013164,29,female,710,266,368
1264879,1264879,25,male,5,3,0
1311023,1311023,22,female,185,3690,3741
1693988,1693988,25,male,979,185,82
1328293,1328293,29,male,48,16,2
1712573,1712573,23,male,64,6,4
2012528,2012528,21,male,160,2,0
1780789,1780789,18,male,9,0,3
1781497,1781497,27,male,6,0,0
1407777,1407777,23,male,141,113,47
1659824,1659824,18,male,425,120,49
1258119,1258119,23,male,56,149,90
2080950,2080950,18,female,693,2872,535
1431473,1431473,19,male,295,16,10
1692475,1692475,28,male,67,62,7
2130182,2130182,20,female,262,1513,1171
1010580,1010580,28,male,23,1,0
1167685,1167685,22,female,358,15,12
1325246,1325246,23,female,216,0,0
1463585,1463585,20,male,51,1,0
1799685,1799685,24,male,209,1,25
1093820,1093820,18,male,1,0,0
1744600,1744600,27,female,5,0,0
1794002,1794002,27,female,167,24,26
1762484,1762484,18,female,308,51,78
1030565,1030565,18,male,81,0,0
1177561,1177561,27,female,366,950,741
1901069,1901069,25,female,3,3,33
1637763,1637763,29,female,2,1,0
2186668,2186668,18,female,254,1,38
1585524,1585524,30,male,38,7,7
1787998,1787998,26,male,46,10,25
1003430,1003430,20,male,409,34,9
1889353,1889353,27,male,0,0,0
1093702,1093702,21,female,415,780,524
1374867,1374867,28,male,61,0,0
1701598,1701598,28,male,351,67,282
1088566,1088566,27,male,89,9,0
1294198,1294198,27,female,363,5,7
1078044,1078044,24,male,2,0,0
1241845,1241845,23,male,133,16,33
1276254,1276254,28,female,41,21,4
1475153,1475153,22,female,1,14,2
2163680,2163680,25,male,607,1097,334
1791626,1791626,18,male,15,17,2
1212864,1212864,18,male,8,17,23
1741928,1741928,23,male,283,9,5
1147450,1147450,19,female,75,5242,1785
1391659,1391659,23,female,8,0,0
1552444,1552444,29,male,0,0,0
1450343,1450343,19,male,125,49,31
1920196,1920196,25,male,15,1,0
1308642,1308642,19,female,618,95,17
1975772,1975772,26,female,86,0,0
1773686,1773686,27,male,51,92,2
1415732,1415732,19,male,24,0,1
1453105,1453105,24,male,259,33,24
1745978,1745978,21,female,149,3,1
1592834,1592834,24,male,1,0,0
1846078,1846078,23,male,1,2,1
1237328,1237328,30,male,0,0,0
1392388,1392388,20,female,896,1979,5573
2140379,2140379,23,male,62,0,5
1193723,1193723,21,female,43,0,0
1210370,1210370,18,male,295,19,5
1823731,1823731,25,male,27,4,0
1834174,1834174,24,male,138,9,12
1377726,1377726,20,female,743,889,1823
1967937,1967937,21,male,400,8,20
2010805,2010805,27,female,464,165,512
1990692,1990692,19,male,48,4,1
2049261,2049261,30,male,30,50,54
1733203,1733203,20,male,2,1,0
1549741,1549741,28,male,77,154,18
1422370,1422370,26,female,17,0,0
1908779,1908779,26,male,26,0,0
1600228,1600228,22,male,112,0,0
1004006,1004006,30,male,47,0,0
1246023,1246023,30,male,28,149,15
1670886,1670886,21,female,326,287,298
1882428,1882428,23,male,14,0,0
2140534,2140534,18,male,104,3,42
1747894,1747894,27,male,432,188,114
1401515,1401515,21,male,43,6,1
1411313,1411313,29,female,80,1,1
1898397,1898397,29,female,98,4,22
1863423,1863423,28,male,52,0,0
1208345,1208345,26,female,65,7,15
2170978,2170978,20,male,47,1,1
2127503,2127503,22,female,350,459,159
1749448,1749448,19,male,136,4,1
1545854,1545854,19,male,22,0,0
1739167,1739167,23,female,130,1,0
1101371,1101371,20,male,412,10,5
2043007,2043007,20,male,247,43,1
1697245,1697245,24,male,320,4,24
2007967,2007967,18,male,326,1,0
1101046,1101046,23,male,146,1,0
1801356,1801356,29,male,123,9,49
1062368,1062368,21,male,51,1,1
1488352,1488352,19,female,242,559,210
1748575,1748575,26,male,21,22,2
1376521,1376521,29,male,18,4,3
1965384,1965384,19,male,1,0,0
1627979,1627979,18,male,216,14,17
1139805,1139805,29,male,363,17,11
1023197,1023197,25,female,29,3,1
1717867,1717867,23,female,27,19,80
1948038,1948038,23,male,90,16,15
1178027,1178027,21,male,64,26,13
1240624,1240624,26,male,110,0,39
1649297,1649297,20,female,413,3350,4818
1078798,1078798,23,male,85,0,0
2044139,2044139,23,female,242,66,97
1237604,1237604,18,female,213,25,31
1844522,1844522,24,male,516,5,2
1753775,1753775,28,male,41,24,0
1182124,1182124,18,female,243,48,44
1463185,1463185,19,male,61,2,0
1479984,1479984,29,female,69,9,13
1008440,1008440,26,male,23,0,0
1850440,1850440,24,male,106,220,514
1569396,1569396,29,male,52,19,0
2139257,2139257,23,male,526,95,60
1437855,1437855,20,male,5,2,0
1414958,1414958,28,male,177,0,1
1737656,1737656,18,female,1228,3370,2807
1375110,1375110,19,female,226,2170,811
1658169,1658169,28,male,36,0,0
2044224,2044224,22,male,1533,809,5895
2015689,2015689,22,female,27,412,35
1078718,1078718,19,female,54,31,15
1710799,1710799,25,male,108,0,0
1806371,1806371,18,male,2,63,3
2112232,2112232,25,male,75,865,753
1028493,1028493,22,male,604,110,363
1995184,1995184,26,female,53,20,11
1347122,1347122,20,female,149,182,76
1130522,1130522,25,male,144,19,2
2079411,2079411,27,male,0,0,0
1573361,1573361,22,male,199,103,23
2092279,2092279,19,female,67,1223,235
2170423,2170423,19,female,723,428,642
1975936,1975936,18,female,614,485,830
1406067,1406067,18,female,549,715,1620
2052657,2052657,25,male,63,0,3
1976549,1976549,24,female,257,1,0
2175553,2175553,19,female,5,8,9
2073956,2073956,19,male,45,4,1
2137219,2137219,26,male,3,10,5
2179423,2179423,27,male,91,5,10
1991556,1991556,18,female,177,208,63
1488019,1488019,20,male,91,0,0
1397975,1397975,27,female,126,0,7
1486222,1486222,26,female,88,9,36
2173730,2173730,28,female,320,101,99
1078999,1078999,22,female,212,11,35
1765421,1765421,27,male,211,45,1
1331161,1331161,18,male,0,0,0
1332179,1332179,29,male,20,0,0
2067576,2067576,29,male,32,0,2
1177367,1177367,27,female,66,4,38
1064345,1064345,18,male,9,0,0
1173495,1173495,22,male,235,10,61
1285829,1285829,23,male,49,413,195
1191722,1191722,19,female,480,716,439
1299738,1299738,30,male,1,0,0
1687670,1687670,18,male,171,0,0
1747507,1747507,18,female,195,4,1
1582368,1582368,18,female,183,0,0
1687354,1687354,23,male,334,222,32
1193138,1193138,29,female,84,52,39
1517039,1517039,26,female,136,246,256
1144069,1144069,30,male,647,0,0
1121415,1121415,26,female,66,65,52
1648453,1648453,20,male,174,0,1
2169143,2169143,30,female,146,0,0
2099749,2099749,25,male,17,0,0
2178853,2178853,23,female,246,0,0
1170582,1170582,20,male,367,65,87
1687024,1687024,18,male,349,54,27
1573315,1573315,26,male,104,23,18
1866678,1866678,20,male,65,3,11
1854340,1854340,27,male,130,1,1
1197704,1197704,21,male,110,10,45
1123156,1123156,18,female,535,236,804
1555238,1555238,18,male,11,133,0
2103996,2103996,21,female,53,0,0
1141138,1141138,23,male,103,4,15
1735708,1735708,23,male,53,38,0
2031953,2031953,22,male,115,0,0
1491829,1491829,29,female,135,172,118
2052335,2052335,24,female,107,37,0
1319832,1319832,25,male,7,0,0
1472602,1472602,30,male,8,0,0
2089260,2089260,18,male,207,196,40
1030007,1030007,28,female,1,0,0
1957069,1957069,22,female,56,0,1
1334839,1334839,25,male,24,20,7
1868753,1868753,23,female,259,162,403
1752925,1752925,27,male,187,20,1
1355965,1355965,20,male,274,20,3
1004919,1004919,22,male,88,818,969
1708594,1708594,22,male,490,10,9
1651363,1651363,21,male,66,4,25
1013717,1013717,23,male,5,9,0
1670268,1670268,18,male,90,12,39
1708745,1708745,29,male,32,0,0
1489197,1489197,26,male,133,0,0
1878953,1878953,28,female,53,17,0
